HOSTNAME,HOST_IP,USERNAME,BUILDING,IDF
SHANG-LAB-5508X-1,10.50.240.63,admin,Shanghai Lab,
SHANG-LAB-5508X-2,10.50.240.64,admin,Shanghai Lab,
SHELBY-5508X-1,192.168.200.63,admin,"Selby, UK",
SHELBY-5508X-2,192.168.200.64,admin,"Selby, UK",
LYON-5516X-1,192.168.4.60,admin,"Lyon, FR",
LYON-5516-2,192.168.4.61,admin,"Lyon, FR",
GER-5508X-1,10.90.240.63,admin,Germany,
GER-5508X-2,10.90.240.64,admin,Germany,
SHANG-OFF-5508X-1,10.55.240.63,admin,Shanghai Office,
SHANG-OFF-5508X-2,10.55.240.64,admin,Shanghai Office,
Beijing-1,10.130.240.63,admin,Beijing,
Beijing-2,10.130.240.64,admin,Beijing,
CH-FP2130-1,10.1.240.63,admin,"Chicago, IL",
CH-FP2130-2,10.1.240.64,admin,"Chicago, IL",